,Number,FirstRow,SecondRow,ThirdRow,Original,FirstKeyPhrase,SecondKeyPhrase,KeyEmotion
326,327,Flour or powdered,Sugar palmed in arcs across,The dark gray counter</p>, , , , 
327,328,Capsized beer bottle,Shoved into a parking cone:,“Maybe it’s thirsty!”</p>, , , , 
328,329,Through the kitchen wall,I hear <em>click</em> over the spray:,The boiler’s kicked on</p>, , , , 
329,330,Medieval castle,In between two slides: pink coat,Covers it a sec</p>, , , , 
330,331,Two trick-or-treaters,Encroach each bowl of candy—,"Oh, they’ve just waltzed in</p>", , , , 
331,332,Violinist drags,Her bow frog over the strings:,Spooky door creaking</p>, , , , 
332,333,Two wet rain jackets,Walk between a pumpkin patch,And a cloudy sea</p>, , , , 
333,334,Scottish flag crudely,Carved into a pumpkin needs,Backlighting to wave</p>, , , , 
334,335,We play hide-and-seek,With the moon—a truck splashes,Dark spots on concrete</p>, , , , 
335,336,Green leaves overhead,"Now tinged with yellow, fallen",Leaves their opposite</p>, , , , 
336,337,Kid rings her bike bell,To warn the non-existent,Seagulls to make way</p>, , , , 
337,338,Seven kettlebells,Along a park pitch touchline,Dent the dewy grass</p>, , , , 
338,339,Light in the corner,Casts another light’s shadow,Into its corner</p>, , , , 
339,340,Floor-to-ceiling books,Age as we move through the shop:,"Way back, “Shakespere” sleeps</p>", , , , 
340,341,Rainbow bus passes,A rainbow on a billboard,Then under a bridge</p>, , , , 
341,342,Red brick smoke stack splits,"A sky full of pink sunset,",Everything dimming</p>, , , , 
342,343,The minute I’ve squeezed,Into the wood play park train,The conductor flees</p>, , , , 
343,344,Colorful barrettes,Arranged in pairs (butterflies),On the window sill</p>, , , , 
344,345,Alley (“Coffin Lane”):,Pink unicorn umbrella,Floats above brown leaves</p>, , , , 
345,346,Kid in my glasses,And hat looks in the mirror:,“I’m Mr. Calvin”</p>, , , , 
346,347,Twelfth-century book:,"Vine climbs perfectly straight lines,",Gold letters still shine</p>, , , , 
347,348, , , , , , , 
348,349,Plastic koala,Enjoys his Lego hotel—,Excuse me: his house</p>, , , , 
349,350,Apprentice Pillar:,So gorgeous it makes me mad,(And I’m not alone)</p>, , , , 
350,351,An October wind,Rustles the bright red ivy:,Stone church half covered</p>, , , , 
351,352,Cigarette butts strewn,Across the sidewalk: older ones,Lined up in the cracks</p>, , , , 
352,353,Sky blue cloud sinking,In a squeeze bottle: one stir,And it dissipates</p>, , , , 
353,354,The Blackbird: cubist,Fowl on the sign and fruit trees,On the umbrellas</p>, , , , 
354,355,Poppy seed muffin,Peeled: sweet vestiges stuck to,Its dark paper case</p>, , , , 
355,356,Four-year-old twirls,Her unicorn umbrella—,Wellies fill with rain</p>, , , , 
356,357,Five pink pelicans,"Sleeping in a row, the fourth",Creeps and is creeped out</p>, , , , 
357,358,Atop Arthur’s Seat,Wind fills both my ears with sound—,I am out of breath</p>, , , , 
358,359,Behind me the fridge,"Makes fridge noises, only some",That I understand</p>, , , , 
359,360,Ducky stuck in cone,(A magic fairy’s force field),Will never get out</p>, , , , 
360,361,Large truck shakes the rain,From the tree I walk under—,Big drops hit hat bill</p>, , , , 
361,362,Moon following us,She grabs it out of the sky,Slows to throw it back</p>, , , , 
362,363,Between Welly clomps,Large raindrops are audible,Clicking on the leaves</p>, , , , 
363,364,Massive cargo ship,Floats below double rainbow,Blinding at both ends</p>, , , , 
364,365,Makeshift rubbish bin,Inside a construction zone:,My shot falls. <em>Kobe</em>.</p>, , , , 
365,366,Drunk woman yelling,At her friend to come get in—,Both taxis waiting</p>, , , , 
366,367,A whole day passes,Out the window: on the couch,We start movie three</p>, , , , 
367,368,Mr. Muscle spray,"Saves me from scrubbing, brings up",Car wash memories</p>, , , , 
368,369,Spreadsheet box changes,Color when it’s full—check box,Darkens just slightly</p>, , , , 
369,370,Batmobile salon,Chair: curls fall to the floor,Paw patrol on tap</p>, , , , 
370,371,Repurposed mall shop,"Full of nurses and waiters,",Small shot between them</p>, , , , 
371,372,Tiny library,And a newly-painted gate,Brighten our graveyard</p>, , , , 
372,373,Anna and Elsa,On a purple ball that light,Up when you hit it</p>, , , , 
373,374,Fellow translators,Fill the Zoom room—languages,Running together</p>, , , , 
374,375,Kid “prancing backwards”,Across a brick-laid courtyard—,Rubber soles scuffing</p>, , , , 
375,376,Massive heart logo,On a football stadium,Facade makes me laugh</p>, , , , 
376,377,Digital petrol,Numbers race: price and volume,Rising neck and neck</p>, , , , 
377,378,Overgrown graveyard:,My father and I seeking,Family names in stone</p>, , , , 
378,379,Loch Ness years later:,Urquhart castle emerges,Totally unchanged</p>, , , , 
379,380,Massive polar bear,Next to the dirt road yawning,Awe into my heart</p>, , , , 
380,381,Spider’s made its web,"In our window, curled up",In morning crosswind</p>, , , , 
381,382,Morning walk to school:,Kid hand holds an umbrella,"Other, her grandpa’s</p>", , , , 
382,383,I am aiport-bound:,Soft peat green grass is growing,Between the train tracks</p>, , , , 
383,384,Flocks of pigeons fly:,“Dad! They’re chasing each other!”,Clouds in scaffolding</p>, , , , 
384,385,"Oh, chicken nuggets,",Triumph in simplicity,(Won’t think about it)</p>, , , , 
385,386, , , , , , , 
386,387,Purple Tylenol,Meniscus barely touches,10 milliltres </p>, , , , 
387,388, , , , , , , 
388,389, , , , , , , 
389,390, , , , , , , 
390,391,Sound of grass ripping:,"Buttercup among the blades,",A cool barely-heft</p>, , , , 
391,392,Winnie the Pooh sings,Songs I’ve not heard in decades:,I don’t miss a word</p>, , , , 
392,393,Spilled pepperoni,Oil sticks parchment paper,To this cookie sheet</p>, , , , 
393,394,International,Language of love: McDonald’s,Chocolate milkshake slurp</p>, , , , 
394,395,Kitchen wall rumbles:,The neighbors’ washing machine,"Muffled, familiar</p>", , , , 
395,396,Tiny climbing wall,Shows me just how far I’ve moved,Into dad-bod mode</p>, , , , 
396,397,A massive giraffe,Stares at us staring at it—,Breaks for some new food</p>, , , , 
397,398,Two crows have scattered,Rubbish across the playground—,I guess they get it</p>, , , , 
398,399,Cool mango salsa,On a fried king prawn: toothpick,Hot in its absence</p>, , , , 
399,400,Three women take turns,Riding a zipline: cable’s,V moving slowly</p>, , , , 
400,401,Young boy looks over ,Edinburgh Castle’s wall:,“There isn’t much to see”</p>, , , , 
401,402,“Pride and poverty,of the Scots” dominates views:,"One side sunned, one black</p>", , , , 
402,403,"Seagulls by morning,","A day full of shifting light,",Then seagulls by night</p>, , , , 
403,404,16th-century,Dovecot towers above us,Camera phones in hand</p>, , , , 
404,405,Old man’s hand tattoo,Protrudes from his church suit sleeve,Split by a gold watch</p>, , , , 
405,406,Gig economy:,I use one job to avoid,Doing the others</p>, , , , 
406,407,The mystery smell,Turns out to be the squat tree,Out our front window</p>, , , , 
407,408,Bubbles popping in,Carbonated lemonade,Click against the can</p>, , , , 
408,409,Kid on her first bike,Does everything except brake—,Lightly scratched Audi</p>, , , , 
409,410,Kid calls me “Poo hair”:,Giggles turn into guffaws,Until she can’t breathe</p>, , , , 
410,411,Mommy/daughter time:,Educational posters,Backdrop Supergirl</p>, , , , 
411,412,Anniversary:,"Caught in a rainstorm, we share",One small umbrella</p>, , , , 
412,413,Flying fish roe falls,From the California roll—,My soy sauce lightens</p>, , , , 
413,414,Maltesers ice cream’s,Tiny frozen Maltesers,Burst between my teeth</p>, , , , 
414,415,Girl leads her blind dad,Across the beach—he trips on,"The breakwater, grins</p>", , , , 
415,416,Six huge concrete blocks,Counterweigh the crane lifting,Something I can’t see</p>, , , , 
416,417,"Buttercup: tiny,","Shiny, yellow, papery,",Poisonous blossom</p>, , , , 
417,418,T. Rex skeleton,Never ceases to thrill me—,I laugh beneath it</p>, , , , 
418,419,Beyond the barbed wire,Some steeple’s straight lines poke through,A hole in the leaves</p>, , , , 
419,420,Harry Potter Day,We live in Edinburgh,So we buy some swag</p>, , , , 
420,421,Thick mesoglea,On the beach: sand-colored crab,"Comes to see it, too</p>", , , , 
421,422,<em>Peter Rabbit 2,</em>In the theater with warm,Popcorn—is this real?</p>, , , , 
422,423,Tiny fly pauses,Just long enough for a pic—,Off leaf into sky</p>, , , , 
423,424, , , , , , , 
424,425,Four-year-old standing,Still at Ross Fountain watching,Water fall from high</p>, , , , 
425,426,Slight pinch announces,The first dose of a second,Vaccine in my arm</p>, , , , 
426,427,Bright pink Washi Tape,Holds cardstock that holds glitter-,Glued beads to the wall</p>, , , , 
427,428,The Firth of Forth’s blue,Surprises us as we round,The castle’s corner</p>, , , , 
428,429,Green and red glitter,Adorn this elastic-backed,Paper giraffe mask</p>, , , , 
429,430,Geodesic dome:,Kids in harnesses flipping,Under a castle</p>, , , , 
430,431,"Gorgeous, albeit","Confusing, dark green metal",Directional sign</p>, , , , 
431,432,Slateford Aqueduct,Moves Union Canal over,The Water of Leith</p>, , , , 
432,433, , , , , , , 
433,434,A poorly drawn pig,Or maybe cow announces,The price of farm feed</p>, , , , 
434,435,IRS website,Asks to scan my face—success!,Now I am James Bond</p>, , , , 
435,436,Fat bee buzzes off,"A clover flower, homeward",Bound to barf honey</p>, , , , 
436,437,A fledgling seagull,"Follows us across a bridge,",It’s dark feet dirty</p>, , , , 
437,438,Today’s sun returns,To memory as my face,Runs warm at midnight</p>, , , , 
438,439,Drop of water hits,"Floor, disintegrates—left foot",Tingling sensation</p>, , , , 
439,440,Kid present: cooking,"Toys, name of her restaurant:",“It’s…BOB ANDERSON”</p>, , , , 
440,441,Three-year-old sprinkles,Sprinkles on a pink cupcake,Lathered in frosting</p>, , , , 
441,442,A river orange,From mining deposits runs,"Toward palace, sea</p>", , , , 
442,443,North Sea horizon,"Invisible, cockle shells",Litter the swash zone</p>, , , , 
443,444,Two chefs arguing (?),"In Italian, cigarettes",Between their fingers</p>, , , , 
444,445,"Mary, Queen of Scots",Walked the courtyard where we share,A granola bar</p>, , , , 
445,446,Dead hawthorn sapling,Crammed between roof-height hedges,Didn’t have a chance</p>, , , , 
446,447,Flower under rock,On a window sill wilting,Waiting for fairies</p>, , , , 
447,448,<em>Lord Lister</em> (the guy,Listerine was named after),Carved into a wall</p>, , , , 
448,449,Fire engine red,Royal Mail Post Office Box,Knows what day it is</p>, , , , 
449,450,Frog alarm clock plays,"Music, a ballerina",Twirls until dizzy</p>, , , , 
450,451,An eight-metre high,Celtic cross outside a church,Shades our water break</p>, , , , 
451,452,My kid has drawn her,"First self-portrait, I love her",More than I can say</p>, , , , 
452,453,Plate-sized flat-bottomed,Yellow-orange fungi climb,A tree with no limbs</p>, , , , 
453,454,Sir Sean Connery’s,Name on a plaque explaining,A cryptic statue</p>, , , , 
454,455,Blue ceramic horse,Wears a Disney princess skirt,On its painted tail</p>, , , , 
455,456,Huge German Shepherd,"Takes our football in his mouth,",Lies in shaggy grass</p>, , , , 
456,457,A sailboat crosses,"The Firth of Forth, my daughter",Balanced on metal</p>, , , , 
457,458,Bag of Green Dragon,Thai Hom Mali Fragrant Rice,Carves lines in my palm</p>, , , , 
458,459,Kid dressed in a cape,Stands to help me overcome,This Nintendo boss</p>, , , , 
459,460,Three-year-old fitness:,"Seven downward-dog pushups,","Toe-touching squat, done</p>", , , , 
460,461,Front room sleepover:,"Cold pizza boxes, blanket",Sprawled across the couch</p>, , , , 
461,462,Barcelona map,Between our windows: sharp-leaf,Trees (what kind?) outside</p>, , , , 
462,463,A cherub blacksmith,Carved into a middle school’s,Gray stone entrance gate</p>, , , , 
463,464,"Water main leaking,",Curses flowing from my mouth,At a faster clip</p>, , , , 
464,465,Few things are better,Than a new-to-you bookcase,That fits perfectly</p>, , , , 
465,466,My kid produces,"A fabric measuring tape,",Spread-eagles a frame</p>, , , , 
466,467,Cardboard rocket ship:,"Watercolor side panels,",So many buttons</p>, , , , 
467,468,Light at 4am:,Seagulls fight over something,Outside our window</p>, , , , 
468,469,ABBA dance party:,Super Trouper stuck in brain,But I won’t feel blue</p>, , , , 
469,470,Three-year-old rewraps,"Her fish burrito, tells us",It’s a taco now</p>, , , , 
470,471,I walk through Dalry:,My suitcase clickety-clacks,Down empty sidewalks</p>, , , , 
471,472,Years of ridicule,And I’ve just learned my wife can’t,Draw a horse either…</p>, , , , 
472,473,Post-nap hairstyle show:,Twenty-plus hair clips adorn,Our three-year-old’s bangs</p>, , , , 
473,474,Family carved into,St. Cuthbert’s church: mesmerized,three-year-old silent</p>, , , , 
474,475,Scattered on a floor,Candyland cards can uphold,Actual footsteps</p>, , , , 
475,476,I teach my daughter,The joy of dragging a stick,Past metal fences</p>, , , , 
476,477,IKEA dresser:,Hidden broken crosspiece found,When I pull the drawer</p>, , , , 
477,478,Portobello Beach,"Cold on our feet, small mussels",Ripped from their white shells</p>, , , , 
478,479,The Meadows dotted,With sunbathers—a small girl,Running between them</p>, , , , 
479,480,Wind rustles the trees,"Around the park, red ball rolls",Down the chute (née slide)</p>, , , , 
480,481,Gorse climbs the mountain:,Flamboyant yellow flowers,Veiling nasty thorns</p>, , , , 
481,482,"Zipline whizzes by,","Catches fast, and whips a kid",Back for the next launch</p>, , , , 
482,483,"Eight-foot-tall hedgerow,",A green and gold gazeebo—,Now this is a park</p>, , , , 
483,484,Monster truck rides down,"A metal slide, gets buried,",And then flies away</p>, , , , 
484,485,Kid pasta dinner,Inevitability:,Noodle fingers (ten)</p>, , , , 
485,486,Kid touches green field,"And takes off, only slowing",When it turns to mud</p>, , , , 
486,487,Three-year-old devours,Her homemade spicy meatballs,Near as fast as me</p>, , , , 
487,488,Harrison Park: rain,"Coming, a small child pushing",Me on a hard swing</p>, , , , 
488,489,Blank ceramic horse,With a coat of sparkle paint,Now waits for firing</p>, , , , 
489,490,Mother and daughter,Dressed brightly for rain both look,Up at the same time</p>, , , , 
490,491,"Kiddo finds three sticks,","Hands me one, says <em>be on guard</em>,",Strikes a ninja pose</p>, , , , 
491,492,French apple crumb cake,Ruins all other desserts,‘Til the end of time</p>, , , , 
492,493,Graffiti declares,The grocery store down the street,"Rubbish—sick burn, dude</p>", , , , 
493,494,Kid raises a pizza,Slice half as large as she is:,"Mouth opens, eyes close</p>", , , , 
494,495,Three stone pillars mark,Edinburgh Meat Market,(1884)</p>, , , , 
495,496,Firth of Forth: tide out,Far enough Cramond Island,Can be reached by foot</p>, , , , 
496,497,World’s largest scrimshaw,Etched into a sperm whale’s jaw—,Holy Moby Dick</p>, , , , 
497,498,The ballerina,At my daughter’s bay window,Tells me she’s not here</p>, , , , 
498,499,Kid lost in a book,Tucked under two chairs near the,Used bookshop window</p>, , , , 
499,500,Princes Street Gardens,"Playground littered with children,",Backdrop a castle</p>, , , , 
500,501,The Water of Leith,Bisects Dean Village: carved stone,Plaques on the old mills</p>, , , , 
501,502,Two pink ballet shoes,Dangle from a twine clothesline:,This is my life now</p>, , , , 
502,503,Pallet of Scottish,Strawberries: thin line of white,Between leaf and sweet</p>, , , , 
503,504,"“Wipeout” on my phone,",Kid stands on horse spring rocker,"Yelling, “Look at me!”</p>", , , , 
504,505,Kiddo’s silhouette,Cast on her blue umbrella—,Scottish rain eases</p>, , , , 
505,506,Three-year-old reading,Under a high carved ceiling,And a pink blanket</p>, , , , 
506,507,Medieval fortress,"At a cobblestone street’s end,",Ice cream truck out front</p>, , , , 
507,508,Edinburgh rain,Gutters much dirtier than,North Carolina’s</p>, , , , 
508,509,Stone steeple towers,Above delapidated,Headstones down the road</p>, , , , 
509,510,Inner-city farm,Complete with fluffy llamas:,Feed them for two pounds</p>, , , , 
510,511,Garden crisscrossed with,Yellow twine clotheslines—a cat,Flees through a window</p>, , , , 
511,512,Small park surrounded,By stone buildings: springy toys,Bend without squeaking</p>, , , , 
512,513,Hotel Quarantine,Day 10: Freedom! A cold wind,Greets us at the door</p>, , , , 
513,514,Hotel Quarantine,Day 9: Orange planes take off,Just past the barbed wire</p>, , , , 
514,515,Hotel Quarantine,Day 8: ABBA dance party,Night light disco ball</p>, , , , 
515,516,Hotel Quarantine,Day 7: At-home COVID,Tests make us both gag</p>, , , , 
516,517,Hotel Quarantine,Day 6: Parking lot tree full,Of tiny inchworms</p>, , , , 
517,518,Hotel Quarantine,Day 5: Holiday Inn couch,Cushion pillow fort</p>, , , , 
518,519,Hotel Quarantine,Day 4: Dirty dishes piled,In the bathroom sink</p>, , , , 
519,520,Hotel Quarantine,Day 3: Haggis flavored (leans,Into lingo) “crisps”</p>, , , , 
520,521,Hotel Quarantine,Day 2: Our government guard,Plays soccer with us</p>, , , , 
521,522,Hotel Quarantine,Day 1: Parking lot play time:,Running back and forth</p>, , , , 
522,523,Quarantine Hotel:,Manager races our kid,To the tiny room</p>, , , , 
523,524,Mostly empty plane,"Doused in sleeping light, this dad",Watching the map change</p>, , , , 
524,525,Everything we own,In suitcases leaned against,An empty room’s wall</p>, , , , 
525,526,I throw spaghetti,Squash—<em>thunk</em>: half a yellow gourd,Stuck high in a tree</p>, , , , 
526,527,Three-year-old dressed in,Full ballet attire demands,To play “Mintendo”</p>, , , , 
527,528,Drive up for pick up:,Three-year-old percussion line:,"Shirts up, hands slapping</p>", , , , 
528,529,Kid runs through sprinkler.,"Well, kid runs <em>to</em> sprinkler, gets","Sprinkled, runs away</p>", , , , 
529,530,Friends pose for pictures,"Under a new canopy,",Masks off for smiles</p>, , , , 
530,531,Saturday picnic:,"Old friends, old blanket, two new",Humans share a treat</p>, , , , 
531,532,Man turns thirty-six:,"No fanfare, no aplomb, just",Cheeseburgers and joy</p>, , , , 
532,533,Sleeping child nestled,Between her bed and the wall,Sandwiched in blankets</p>, , , , 
533,534,Kid sees James Taylor,"In a painting: points and yells,","“Daddy, it’s Jesus!”</p>", , , , 
534,535,Colorful floor mat,"Turned bird’s eye view, three-year-old",Flying Superman</p>, , , , 
535,536,North Carolina,Golf course dotted with oak trees:,Not work friends—real friends</p>, , , , 
536,537,Fluorescent pink egg,Set on a car’s door handle,Is the last one found</p>, , , , 
537,538,Two little girls,In an empty parking lot,Spinning their hearts out</p>, , , , 
538,539,North Carolina,Back road: a red fox crosses,"At a trot, unphased</p>", , , , 
539,540,Makeshift workstation:,Pile of discarded Q-tips,Stuck to board with paint</p>, , , , 
540,541,Old pair of glasses:,Vision fine but fashion sense,Full of deep regret</p>, , , , 
541,542,Second-to-last meal,With friends: sadness is impossible,With a burrito</p>, , , , 
542,543,Gift from an old friend,On top of the “don’t keep” pile,Makes our move feel real</p>, , , , 
543,544,"Kid finds heavy rock,","Throws said rock in a cold stream,",Tells me to get it</p>, , , , 
544,545,Rain so hard a two-,Foot pile of leaves rushes past,And down the street drain</p>, , , , 
545,546,Threadbare grandma-made,Quilt bites the dust: one square foot,Of bears holding hands</p>, , , , 
546,547,Window de-misted,By hand: the year’s first pollen,Wiped on my shirt sleeve</p>, , , , 
547,548,Front yard weeds in bloom:,Dandelions draw the eye,Through the ground cover</p>, , , , 
548,549,Hand mashed onto pad:,Four digital fingerprints,Appear and darken</p>, , , , 
549,550,Small cemetery,Surrounded by cherry trees,Bursting with white bloom</p>, , , , 
550,551,Little rain boots greet,Me in the dark grass after,Taking out the trash</p>, , , , 
551,552,First time dining in,In thirteen months—Italian,Was the way to go</p>, , , , 
552,553,Parking lot drainage,Carves an S in the bright pink,Petals strewn about</p>, , , , 
553,554,License plate removed—,Number fully visible,Etched in years of dust</p>, , , , 
554,555,Three-year-old sitting,On a flatbed Costco cart,Waves cutely to mom</p>, , , , 
555,556,Car dies on the road—,Smell of burning clutch mixes,With the smell of rain</p>, , , , 
556,557,Three hundred dollars’,Worth of coins slide down the hinged,Tray and out of sight</p>, , , , 
557,558,Sunday hike with friends:,Four children instead of one,Is a whole new game</p>, , , , 
558,559,Spontaneous dance,"Party: loads of fast spinning,",Ice cream cones in hand</p>, , , , 
559,560,Three-year-old craning,To watch the skinny squirrel,Craning to watch her</p>, , , , 
560,561,Vaccination burns,More than usual—must be,All the hope in it</p>, , , , 
561,562,Off-color cement,Tendrils climb the front room wall,Where the bookcase was</p>, , , , 
562,563,“Close your eyes!” A glass,Full of plucked dandelions,Cool against my hand</p>, , , , 
563,564,On a half-brick porch,A trio of three-year-olds,Kick their legs in time</p>, , , , 
564,565,Woodpecker returns,For seconds—you can make him,Out…there…if you squint</p>, , , , 
565,566,Our largest bookcase,Tips empty—an SUV,"Receives it, barely</p>", , , , 
566,567,"New Wegman’s, complete",With a huge lobster tank and,Overpriced croissants</p>, , , , 
567,568,Post-pandemic golf,Feels about the same as pre-:,Slight turn stills the slice</p>, , , , 
568,569,Pastel wood train cars,Click together with weak <em>clack</em>s—,Soft pull starts the roll</p>, , , , 
569,570,Woodpecker’s drilling,High overhead in a tree,Brings me happiness</p>, , , , 
570,571,Three-year-old holding,"A baby chick, red heat lamp",Colors them the same</p>, , , , 
571,572,Bathtub swim complete,With a pair of blue goggles,And a pair of Crocs</p>, , , , 
572,573,Twelve cats surround us,"Vying for play time, their paws",Do not make a sound</p>, , , , 
573,574,Gameplay capture card,Lights up as the stream begins—,This is the future</p>, , , , 
574,575,Wife’s dissertation,Defense wraps successfully:,Walks out a doctor</p>, , , , 
575,576,Our three-year-old’s voice,Echoes off a steel awning,Somewhere out of sight</p>, , , , 
576,577,"Three-year-old finds weights,",Demands to use them during,"Mickey Mouse, and does</p>", , , , 
577,578,Streams of blood-colored,Bubbles carve gullies into,Clean baking soda</p>, , , , 
578,579,Mother and daughter,"Touch water in a cold stream,",Beam at each other</p>, , , , 
579,580,Three-year-old drags cheap,Green chalk across the cement,Nearly thirty feet</p>, , , , 
580,581,A tiny spider,Dangles from the outdoor light,And lets me move it</p>, , , , 
581,582,Street lamp peeking through,Spaces in the bedroom blinds:,I get déjà vu</p>, , , , 
582,583,3D printed hand,Copper taped to feet of wire,Reads my skin’s voltage</p>, , , , 
583,584,Three-year-old plants grass,In an unused flower pot:,"“Look, Dad, a garden!”</p>", , , , 
584,585,"Warm air starts up, shakes","The paintings taped to my wall,",Helped by a loud fan</p>, , , , 
585,586,Valentine’s Day Cards,Dot the counter and the fridge—,Ninja Turtle love</p>, , , , 
586,587,Baby monitor,Catches our eye when the kid,Somersaults in bed</p>, , , , 
587,588,Empty library:,Bag full of 3D-printed,Hands catches light rain</p>, , , , 
588,589,Fan overhead clicks,A twice-per-second cadence,Picked up by my mic</p>, , , , 
589,590,Open fishing box:,"Synthetic bait, unopened",Split shot and worm weights</p>, , , , 
590,591,Kamala Harris,Painted on a cement wall:,"Red, white, and blue <em>1st</em></p>", , , , 
591,592,Slight internet lag,Allows me to watch myself,Stream into the void</p>, , , , 
592,593,Pockmarked grill cover’s,Pull string wet to the touch creaks,As I cinch it closed</p>, , , , 
593,594,A picture’s edges,Covered by the frame now lie,Shining in the light</p>, , , , 
594,595,"Three-year-old grabs purse,","Sets off down a Target aisle,",“I’M ON VACATION!”</p>, , , , 
595,596,Shower informs me,Of the large scrape on my leg,I hadn’t noticed</p>, , , , 
596,597,My kid reminds me,"Where to stand, goose steps away",Absentmindedly</p>, , , , 
597,598,"As it tends to do,",News arrives the day after,I gave up on news</p>, , , , 
598,599,"Crinkle under butt,","Deep breaths for cold stethoscope,","Slight sting, blood away</p>", , , , 
599,600,My first pedicure,Tickles like mad: parts of heel,I ain’t felt in years</p>, , , , 
600,601,Stuck to my right foot,A popcorn kernel nearly,Makes it out the door</p>, , , , 
601,602,All my groceries,Hang from either arm—someone,"Yells, “Ok, strong man!”</p>", , , , 
602,603,The first snow this year,Sticks to itself well—laughter,Breaks with the snowballs</p>, , , , 
603,604,Floral boonie hat,Flapping in the ceiling fan,Vortex at dinner</p>, , , , 
604,605,Race across the house:,One of the runners pauses,For the stuffed giraffe</p>, , , , 
605,606,Three-year-old prepares,Dinner in the tub—I hear,Spaghetti splashing</p>, , , , 
606,607,The bubbles have come,On our hike: dry leaf edges,Break their rainbow sides</p>, , , , 
607,608,Three-year-old popping,Bubbles in the living room:,Slightly slick wood floor</p>, , , , 
608,609,Circular flames rise,From the stainless steel fire pit:,Tinted marshmallows</p>, , , , 
609,610,Roasted Brussels sprouts,"Soften as they roast, bacon",Crisping on the stove</p>, , , , 
610,611,Three-year-old surfing,On my leg: little toes dig,Divots in my calf</p>, , , , 
611,612,Three-year-old sliding,Down a carved stone rabbit’s back,Laughs and disappears</p>, , , , 
612,613,In my laziness,The lettuce dried to this bowl,Darkens for two days</p>, , , , 
613,614,A small stack of rocks,Smacked sideways off itself scrapes,Other rocks below</p>, , , , 
614,615,Clear plastic bin full,Of old clothes scrapes the ceiling,As I pry it free</p>, , , , 
615,616,Three-year-old slurping,Chex (just like I do) annoys,Her mother (ibid)</p>, , , , 
616,617,Our downstairs neighbor,Slams the door so hard the floor,Underneath me shakes</p>, , , , 
617,618,I have been sitting,In one spot so long my right,Ankle has swollen</p>, , , , 
618,619,Ten to twelve robins,"Burst out of my yard, the door",Scares one behind me</p>, , , , 
619,620,Three Maui Jim shades,Reflect the room around me,In different colors</p>, , , , 
620,621,Three-year-old mimics,"Her mother’s lunges, throwing",Them both off balance</p>, , , , 
621,622,Bundled three-year-old,Touching Trader Joe’s flowers,Petal by petal</p>, , , , 
622,623,The smoke detector’s ,Muffler (a piece of duct tape),Curls in one corner</p>, , , , 
623,624,Three-year-old scrapes ice,"Off the windshield, the scraper",As tall as she is</p>, , , , 
624,625,The pile of papers,On my desk now big enough,To eat other things</p>, , , , 
625,626,Harry Potter wand,Necklace charm repurposed: now,A socket wrench—see?</p>, , , , 
626,627,I replace the pots,Hiding another dad’s stash,Of candy—respect</p>, , , , 
627,628,Three-year-old facedown,On a footbridge cheering storm,Surge through the stream bed</p>, , , , 
628,629,Green metal netting,Of the circular outdoor,Table buzzes—<em>smack!</em></p>, , , , 
629,630,Rain crosses the roof:,"“Welcome, 2021.”",Wind howls in response</p>, , , , 
630,631,Barefoot in the cold,I tell 2020 <em>bye</em>,Under a full moon</p>, , , , 
631,632,"In the dark, the heat",Kicks on: warm air hits my face,And rises away</p>, , , , 
632,633,Three-year-old slowly,Crosses a shallow gully,On a fallen tree</p>, , , , 
633,634,Fan pushing night air,"Under the door, my toe hair",Waves in the coolness</p>, , , , 
634,635,Mother and daughter,"Reading a trail map, kid says",“To Ahtohallan”</p>, , , , 
635,636,I pick up a rock:,Patch of ice surprises me:,"Squat, compact crystals</p>", , , , 
636,637,Traditions passed on:,"Cereal under the tree,",Pop-tarts in stockings</p>, , , , 
637,638,Christmas Eve: stockings,"Masking-taped to the bookshelf,",Empty cookie plate</p>, , , , 
638,639,"Sculpture park, good friend","Laughing next to me, our masks","Muffling death, not joy</p>", , , , 
639,640,Chocolate chips melting,“We’re making muddy buddies!”,Ringing through the house</p>, , , , 
640,641,Long hike (maybe lost):,Wind shakes leaves on a skinny,"Sapling—<em>click</em>, <em>click</em>, <em>click</em></p>", , , , 
641,642,Three-year-old cuddles,A chunk of yarn her mother,Cut on a stained couch</p>, , , , 
642,643,Trailer park: makeshift,Christmas tree on the corner,Lights the overpass</p>, , , , 
643,644,Three-year-old offers,To share gingerbread she made,(Finds the smallest piece)</p>, , , , 
644,645,Kid in princess dress,"Shoves marbles down a funnel,",Eyes lit wit pure joy</p>, , , , 
645,646,Pop filter muffles,The green light on my Blue mic—,Scrambles the white wall</p>, , , , 
646,647,Dust trails protruding,"From the ceiling vent cover,",Four equal-length paths</p>, , , , 
647,648,At certain angles,The ceiling lamp’s lights reveal,Hand marks on the wall</p>, , , , 
648,649,Cold morning so still,I hear individual,Leaves detach from trees</p>, , , , 
649,650,Spade-shaped dough mixer,Covered in cookie dough: kid,Teeth show with tongue reach</p>, , , , 
650,651,Hamper’s clothesline print,Offers a splash of color,In a gray corner</p>, , , , 
651,652,Six shiny cleaning ,Supply canisters reflect,The white ceiling fan</p>, , , , 
652,653,White cords pooling as,"I pull the pull cord, pull cord",Nearly to the floor</p>, , , , 
653,654,New scratch on my desk:,Leaning forward I find it,Is a pile of crumbs</p>, , , , 
