,FirstRow,SecondRow,ThirdRow,Original,FirstKeyPhrase,SecondKeyPhrase,KeyEmotion,Number
461,the sweat dripping drip,ping into your eyes like tears,for all my efforts,the sweat dripping drip ping into your eyes like tears for all my efforts, , , ,462
462,smile amphibian,servile fly crowning frog prince,order among thieves,smile amphibian servile fly crowning frog prince order among thieves, , , ,463
463,plane ticket to france,like a fuck thou ode to you,if i had the balls,plane ticket to france like a fuck thou ode to you if i had the balls, , , ,464
464,coarse white pubic hair,sign of fleeting time old age,now at the ready,coarse white pubic hair sign of fleeting time old age now at the ready, , , ,465
465,luminescent lures,draw them close to its dark mouth,the nightclub swallows,luminescent lures draw them close to its dark mouth the nightclub swallows, , , ,466
466,winter is a birth,of lofty expectations,for the next season,winter is a birth of lofty expectations for the next season, , , ,467
467,fall's blaze of folly,deposits rich red blood cells,on winter's bare bones,fall's blaze of folly deposits rich red blood cells on winter's bare bones, , , ,468
468,trying to tune in,a song of the soul but my,reception is bad,trying to tune in a song of the soul but my reception is bad, , , ,469
469,whiskey and cigars,perfect companions for this,mountainous refuge,whiskey and cigars perfect companions for this mountainous refuge, , , ,470
470,as i turn the page,napoleon leaves moscow,fading winter light,as i turn the page napoleon leaves moscow fading winter light, , , ,471
471,round and beautiful,the moon breathing with cut grain,slowly moves westward,round and beautiful the moon breathing with cut grain slowly moves westward, , , ,472
472,a moment alone,in the desert of iraq,her damaged photo,a moment alone in the desert of iraq her damaged photo, , , ,473
473,windy afternoon,two beetles manage to mate,on the goldenrod,windy afternoon two beetles manage to mate on the goldenrod, , , ,474
474,early morning sounds   ,the stench of the cattle truck,before it arrives,early morning sounds    the stench of the cattle truck before it arrives, , , ,475
475,rain turning to snow,a beggar in the subway,that no one believes,rain turning to snow a beggar in the subway that no one believes, , , ,476
476,autumn in the park,a soprano saxophone,merges with the night,autumn in the park a soprano saxophone merges with the night, , , ,477
477,indian summer,we need to be reminded,to let the young win,indian summer we need to be reminded to let the young win, , , ,478
478,early winter moon,the sound of a newspaper,as it hits the ground,early winter moon the sound of a newspaper as it hits the ground, , , ,479
479,the lake's reflection,goes all the way out the limb,summer solitude,the lake's reflection goes all the way out the limb summer solitude, , , ,480
480,summer afternoon,baby and i discover,the beauty of leaves,summer afternoon baby and i discover the beauty of leaves, , , ,481
481,historic cabin,we nibble windfall apples,on the rotten porch,historic cabin we nibble windfall apples on the rotten porch, , , ,482
482,summer reunion,she ties a seaweed bracelet,on her sister's wrist,summer reunion she ties a seaweed bracelet on her sister's wrist, , , ,483
483,dusk in the city,the parking attendant sings,with pavarotti,dusk in the city the parking attendant sings with pavarotti, , , ,484
484,warm hand held tightly,dream of a maple seedling,ready for planting,warm hand held tightly dream of a maple seedling ready for planting, , , ,485
485,shiny red apples,the painter introduces,a caterpillar,shiny red apples the painter introduces a caterpillar, , , ,486
486,their hands lightly touch,at the nursing home picnic,a raindrop or two,their hands lightly touch at the nursing home picnic a raindrop or two, , , ,487
487,empty birdfeeder,the shimmer of falling snow,as a sparrow lands,empty birdfeeder the shimmer of falling snow as a sparrow lands, , , ,488
488,now and then the wind,through the ponderosa pines,billows of pollen,now and then the wind through the ponderosa pines billows of pollen, , , ,489
489,remaining blossoms,a gardener rakes the sand,across his footprints,remaining blossoms a gardener rakes the sand across his footprints, , , ,490
490,january rain   ,at the edges of my nap,the old cat kneading,january rain    at the edges of my nap the old cat kneading, , , ,491
491,the deeply cut leaves,of a japanese maple,another good-bye,the deeply cut leaves of a japanese maple another good-bye, , , ,492
492,cherry tomato,the scent from its leaves lingers,on my fingertips,cherry tomato the scent from its leaves lingers on my fingertips, , , ,493
493,in the parking lot,a rose petal has arrived,from nowhere special,in the parking lot a rose petal has arrived from nowhere special, , , ,494
494,a great blue heron,wading through autumn colors,one step at a time,a great blue heron wading through autumn colors one step at a time, , , ,495
495,carefully unwrapped   ,the favorite ornament,lying in pieces,carefully unwrapped    the favorite ornament lying in pieces, , , ,496
496,whenever auntie,moves around her dresses make,a curious sound,whenever auntie moves around her dresses make a curious sound, , , ,497
497,we were loathed and mocked,and reviled of all nations,that was our pride,we were loathed and mocked and reviled of all nations that was our pride, , , ,498
498,proud in their careless,transience moved the changing,faces that i loved,proud in their careless transience moved the changing faces that i loved, , , ,499
499,and we that knew the,best down wonderful hours,grew happier yet,and we that knew the best down wonderful hours grew happier yet, , , ,500
500,glory flings his arms,round thee and proudly holds thee,in his high caress,glory flings his arms round thee and proudly holds thee in his high caress, , , ,501
501,a little shop with,its various ware spread on,shelves with nicest care,a little shop with its various ware spread on shelves with nicest care, , , ,502
502,i bowed my head and,felt the storm plough shattering,through my prostrate form,i bowed my head and felt the storm plough shattering through my prostrate form, , , ,503
503,it strained him to the,utmost to reject even,this hour with her,it strained him to the utmost to reject even this hour with her, , , ,504
504,we agreed that the,next man who came should prove the,scheme and you were he,we agreed that the next man who came should prove the scheme and you were he, , , ,505
505,he has forgotten,the woman in the room with,the geraniums,he has forgotten the woman in the room with the geraniums, , , ,506
506,through the sobbing storm,he hears her love take form and,flutter out in words,through the sobbing storm he hears her love take form and flutter out in words, , , ,507
507,they wind about the,gravel walks and all the long,line buzzes and talks,they wind about the gravel walks and all the long line buzzes and talks, , , ,508
508,he filled his own glass,full of wine from his pocket,he took a paper,he filled his own glass full of wine from his pocket he took a paper, , , ,509
509,and who shall say if,the reality is not,with dreams so pregnant,and who shall say if the reality is not with dreams so pregnant, , , ,510
510,i walked up and down,in the empty room this way,and that a long while,i walked up and down in the empty room this way and that a long while, , , ,511
511,on and on down the,long roads the autumn winds shake,the hundred grasses,on and on down the long roads the autumn winds shake the hundred grasses, , , ,512
512,and even now when,they speak of the governor,tears start to their eyes,and even now when they speak of the governor tears start to their eyes, , , ,513
513,and they did to it,what is always done to the,learned and eloquent,and they did to it what is always done to the learned and eloquent, , , ,514
514,whoever tries to,escape him is dragged down from,bad deeds to worse ones,whoever tries to escape him is dragged down from bad deeds to worse ones, , , ,515
515,has anyone made,a joke about kane trying,to claim the goal yet,has anyone made a joke about kane trying to claim the goal yet, , , ,516
516,why do dentists try,to talk to you when they have,their hands in your mouth,why do dentists try to talk to you when they have their hands in your mouth, , , ,517
517,sorry blazers but,the pelicans just want the,ball more than you do,sorry blazers but the pelicans just want the ball more than you do, , , ,518
518,u gonna see one,of these for every hot,lady on earth now,u gonna see one of these for every hot lady on earth now, , , ,519
519,tom brady has more,super bowl wins than career,losses to the bills,tom brady has more super bowl wins than career losses to the bills, , , ,520
520,when you're an adult,and can go to the store for,just ice cream and beer,when you're an adult and can go to the store for just ice cream and beer, , , ,521
521,these dreams are getting,too vivid too specific,it's freaking me out,these dreams are getting too vivid too specific it's freaking me out, , , ,522
522,a flooring is a,misstep antismoking but,not coagulate,a flooring is a misstep antismoking but not coagulate, , , ,523
523,nothing bothers me,more than when someone doesn't,hold the door open,nothing bothers me more than when someone doesn't hold the door open, , , ,524
524,i'm so tempted to,quit my job pack my shit and,leave back to plainview,i'm so tempted to quit my job pack my shit and leave back to plainview, , , ,525
525,i am rather self,conscious and just want to be,liked and attractive,i am rather self conscious and just want to be liked and attractive, , , ,526
526,isaac haas has been,at purdue for as long as,i can remember,isaac haas has been at purdue for as long as i can remember, , , ,527
527,sometimes i wonder,what their marketing team are,doing exactly,sometimes i wonder what their marketing team are doing exactly, , , ,528
528,my problem is i,care to much about people,who don't care at all,my problem is i care to much about people who don't care at all, , , ,529
529,first week of classes,and stress has already made,itself right at home,first week of classes and stress has already made itself right at home, , , ,530
530,fuck everyone else,i can't give you the world but,i'll give you myself,fuck everyone else i can't give you the world but i'll give you myself, , , ,531
531,suicide is in,the understanding of the,lyrics of the songs,suicide is in the understanding of the lyrics of the songs, , , ,532
532,i'm always in and,out of weight it's really not,good whatsoever,i'm always in and out of weight it's really not good whatsoever, , , ,533
533,anyone wanna,cuddle and watch movies when,i get to the o,anyone wanna cuddle and watch movies when i get to the o, , , ,534
534,every time a,bell rings a good sir wins the,internet today,every time a bell rings a good sir wins the internet today, , , ,535
535,you know what only,things that matter death sex and,and shared finances,you know what only things that matter death sex and and shared finances, , , ,536
536,welcome to spruce grove,gene i thought i smelled something,pungent in the air,welcome to spruce grove gene i thought i smelled something pungent in the air, , , ,537
537,kushner should go back,to the private sector as,soon as possible,kushner should go back to the private sector as soon as possible, , , ,538
538,my uber drivers,backseat is full of glitter,who was the culprit,my uber drivers backseat is full of glitter who was the culprit, , , ,539
539,thanks young leaders for,the follow i m very,happy about it,thanks young leaders for the follow i m very happy about it, , , ,540
540,to know one's surprise,the models are so white they're,nearly translucent,to know one's surprise the models are so white they're nearly translucent, , , ,541
541,if you are afraid,of failure you don't deserve,to be successful,if you are afraid of failure you don't deserve to be successful, , , ,542
542,santa season has,officially started i'm,watching deck the halls,santa season has officially started i'm watching deck the halls, , , ,543
543,im just gonna sell,my reproductive organs,on the black market,im just gonna sell my reproductive organs on the black market, , , ,544
544,persistence is to,the character of man as,carbon is to steel,persistence is to the character of man as carbon is to steel, , , ,545
545,just ordered the two,versions of love shot and i'm,officially broke,just ordered the two versions of love shot and i'm officially broke, , , ,546
546,i've accepted that,i'm not a propriety,and i don't matter,i've accepted that i'm not a propriety and i don't matter, , , ,547
547,if u wanna talk,to me then talk to me what's,so hard about that,if u wanna talk to me then talk to me what's so hard about that, , , ,548
548,i tried tofu the,other day n i think i,caught vegan from it,i tried tofu the other day n i think i caught vegan from it, , , ,549
549,i have been praying,for long god doesn't listen,you already failed,i have been praying for long god doesn't listen you already failed, , , ,550
550,the devil keep on,testing me i just pray that,god keep blessing me,the devil keep on testing me i just pray that god keep blessing me, , , ,551
551,i can't even breath,just looking at her in that,tight dress poor baby,i can't even breath just looking at her in that tight dress poor baby, , , ,552
552,why do basic clothes,look good on others while they,look like trash on me,why do basic clothes look good on others while they look like trash on me, , , ,553
553,you are a filthy,individual and the,truth is coming out,you are a filthy individual and the truth is coming out, , , ,554
554,on easter two words,you can say to jesus if,you know what i mean,on easter two words you can say to jesus if you know what i mean, , , ,555
555,i feel like crying,every time i listen,to epiphany,i feel like crying every time i listen to epiphany, , , ,556
556,changing gun laws ain't,gonna do nothing people,kill people not guns,changing gun laws ain't gonna do nothing people kill people not guns, , , ,557
557,yes it will mr,president in more ways than,one happy new year's,yes it will mr president in more ways than one happy new year's, , , ,558
558,i'm referring them,all to you firefighters,we got a hot one,i'm referring them all to you firefighters we got a hot one, , , ,559
559,antigua is a,ridiculous country but,i love it so much,antigua is a ridiculous country but i love it so much, , , ,560
560,look ya better not,treat me like some kid i'm way,older than you know,look ya better not treat me like some kid i'm way older than you know, , , ,561
561,the future belongs,to those who prepare for it,today malcolm x,the future belongs to those who prepare for it today malcolm x, , , ,562
562,it's barely midnight,and i'm getting sleepy i,must be productive,it's barely midnight and i'm getting sleepy i must be productive, , , ,563
563,she deserves the world,and not this bullshit that they,are putting her through,she deserves the world and not this bullshit that they are putting her through, , , ,564
564,ava how come a,raccoon can get a spooky,basket but i cant,ava how come a raccoon can get a spooky basket but i cant, , , ,565
565,having allergies,after general cleaning,is the hardest part,having allergies after general cleaning is the hardest part, , , ,566
566,only i would start,feeling ill the night before,my christmas party,only i would start feeling ill the night before my christmas party, , , ,567
567,i'm a crybaby,sometimes but a bad bitch on,a daily what's good,i'm a crybaby sometimes but a bad bitch on a daily what's good, , , ,568
568,nothing can stop me,from where i'm headed i take,it all to da chin,nothing can stop me from where i'm headed i take it all to da chin, , , ,569
569,you're reporting on,water rising is very,irresponsible,you're reporting on water rising is very irresponsible, , , ,570
570,this lady had the,whole year to fail me but she,wanna fail me now,this lady had the whole year to fail me but she wanna fail me now, , , ,571
571,i always listen,to my family i feel,like shit if i don't,i always listen to my family i feel like shit if i don't, , , ,572
572,blue planet series,set to fuel a boom in,eco tourism,blue planet series set to fuel a boom in eco tourism, , , ,573
573,if you're a micro,on adelle then the ground is,a large scale large scale,if you're a micro on adelle then the ground is a large scale large scale, , , ,574
574,the moon reminds me,of him i still love him and,nothing can change that,the moon reminds me of him i still love him and nothing can change that, , , ,575
575,lindsey really put,on makeup to do yard work,i can't i just can't,lindsey really put on makeup to do yard work i can't i just can't, , , ,576
576,need a spooky name,for hau and or pudding pup,any suggestions,need a spooky name for hau and or pudding pup any suggestions, , , ,577
577,bare annoying when,your periods due the first,day of ramadan,bare annoying when your periods due the first day of ramadan, , , ,578
578,i feel so lonely,like i have friends and all but,i feel so lonely,i feel so lonely like i have friends and all but i feel so lonely, , , ,579
579,i want a baby,but like i don't wanna have,to give birth feel me,i want a baby but like i don't wanna have to give birth feel me, , , ,580
580,traffic update due,to republic day parade,mayo road is closed,traffic update due to republic day parade mayo road is closed, , , ,581
581,i love living with,my grandma but i wish my,mom had her own house,i love living with my grandma but i wish my mom had her own house, , , ,582
582,family drama,again can someone adopt,me for a few days,family drama again can someone adopt me for a few days, , , ,583
583,when are you playing,in the dfw,area again,when are you playing in the dfw area again, , , ,584
584,my question is what,are the names of three people,who have called it that,my question is what are the names of three people who have called it that, , , ,585
585,suddenly being,pulled along she does her best,to follow along,suddenly being pulled along she does her best to follow along, , , ,586
586,i wouldn't locked you,in a room alone if there,wasn't me in it,i wouldn't locked you in a room alone if there wasn't me in it, , , ,587
587,i'm actually,crying i've never had to,pee more in my life,i'm actually crying i've never had to pee more in my life, , , ,588
588,women should be jailed,for false rape and sexual,harassment reports,women should be jailed for false rape and sexual harassment reports, , , ,589
589,y'all really mad at,lebron them people ain't your,friends outside of work,y'all really mad at lebron them people ain't your friends outside of work, , , ,590
590,i want an honest,relationship no lies no,mind games no cheating,i want an honest relationship no lies no mind games no cheating, , , ,591
591,we all deserve a,life without all the worries,of this shitty world,we all deserve a life without all the worries of this shitty world, , , ,592
592,i'm angel i log,into peoples laptops and,forget to log off,i'm angel i log into peoples laptops and forget to log off, , , ,593
593,i might completely,stay away today all of,these lines are awful,i might completely stay away today all of these lines are awful, , , ,594
594,fleetwood mac the band,with a dude named lindsey and,a chick named stevie,fleetwood mac the band with a dude named lindsey and a chick named stevie, , , ,595
595,it's okay not to,have your shit together we're,trying anyways,it's okay not to have your shit together we're trying anyways, , , ,596
596,my only problem,with the right is that they think,they're better than me,my only problem with the right is that they think they're better than me, , , ,597
597,it's wild how people,can get on this website and,just say anything,it's wild how people can get on this website and just say anything, , , ,598
598,i probably should,try studying in advance,for a change of pace,i probably should try studying in advance for a change of pace, , , ,599
599,alternate future,of europe return of the,russian empire,alternate future of europe return of the russian empire, , , ,600
600,ever work so hard,you feet hurt so bad you can,feel the pulse in them,ever work so hard you feet hurt so bad you can feel the pulse in them, , , ,601
601,you're going to hell,for that oh and my sis said,that you need to die,you're going to hell for that oh and my sis said that you need to die, , , ,602
602,gros marathon de,vodka si every day,i'm drinking passe,gros marathon de vodka si every day i'm drinking passe, , , ,603
603,really really just,need to get in and finish,my tattoo sleeve ugh,really really just need to get in and finish my tattoo sleeve ugh, , , ,604
604,i want a sausage,pepperoni and onion,pizza from beggars,i want a sausage pepperoni and onion pizza from beggars, , , ,605
605,the world has bigger,problems than boys who kiss boys,and girls who kiss girls,the world has bigger problems than boys who kiss boys and girls who kiss girls, , , ,606
606,has anyone put,chip was in their chili do,you prefer lentils,has anyone put chip was in their chili do you prefer lentils, , , ,607
607,nobody wanna,see you happy or making,the right decisions,nobody wanna see you happy or making the right decisions, , , ,608
608,never give up on,someone you can't spend a day,not thinking about,never give up on someone you can't spend a day not thinking about, , , ,609
609,looks like atlanta,will be my first stop i miss,my dad honestly,looks like atlanta will be my first stop i miss my dad honestly, , , ,610
610,i'm staring at him,but i forget to pick my,face up off the floor,i'm staring at him but i forget to pick my face up off the floor, , , ,611
611,i don't wanna say,goodbye to you so i'll just,say goodnight to you,i don't wanna say goodbye to you so i'll just say goodnight to you, , , ,612
612,i hope alex takes,a minute to stop dying,and i don't know breathe,i hope alex takes a minute to stop dying and i don't know breathe, , , ,613
613,my idea of,a perfect day would just be,spending it with you,my idea of a perfect day would just be spending it with you, , , ,614
614,i'm dead at christine,and her daughter arguing,over who's my friend,i'm dead at christine and her daughter arguing over who's my friend, , , ,615
615,came home to flowers,a home cooked meal i real deal,have a whole ass wife,came home to flowers a home cooked meal i real deal have a whole ass wife, , , ,616
616,well i'm a cultured,and educated man and,i've heard of the song,well i'm a cultured and educated man and i've heard of the song, , , ,617
617,nowadays i'm just,a bitch to everybody,else fuck you and you,nowadays i'm just a bitch to everybody else fuck you and you, , , ,618
618,call me a nigger,to my face since you so bold,on the internet,call me a nigger to my face since you so bold on the internet, , , ,619
619,fuck the only thing,i have is the memory,of us f nothing,fuck the only thing i have is the memory of us f nothing, , , ,620
620,she don't even know,ya middle name watch her cause,she might still ya chain,she don't even know ya middle name watch her cause she might still ya chain, , , ,621
621,in your opinion,what was the best album that,dropped this year so far,in your opinion what was the best album that dropped this year so far, , , ,622
622,i swear bored eating,wasn't a real thing until,i got to college,i swear bored eating wasn't a real thing until i got to college, , , ,623
623,i'm about to suck,the soul out of kevin he,worked so hard today,i'm about to suck the soul out of kevin he worked so hard today, , , ,624
624,not one person will,go drinking with me tonight,absolute outrage,not one person will go drinking with me tonight absolute outrage, , , ,625
625,i pray for guidance,and patience everyday lord,knows that i need it,i pray for guidance and patience everyday lord knows that i need it, , , ,626
626,am i the only,one that's not gotten a weird,notification,am i the only one that's not gotten a weird notification, , , ,627
627,i will be sexy,this year by the time its my,b day wait on it,i will be sexy this year by the time its my b day wait on it, , , ,628
628,i'm still tripping out,over the dream i had last,night like what was that,i'm still tripping out over the dream i had last night like what was that, , , ,629
629,plese flush the toilet,twice once for the bulk and twice,for the remainder,plese flush the toilet twice once for the bulk and twice for the remainder, , , ,630
630,im fine w,never ever talking to,some people again,im fine w never ever talking to some people again, , , ,631
631,i'm ready to spoil,my love this week not because,it's valentines tho,i'm ready to spoil my love this week not because it's valentines tho, , , ,632
632,didn't know getting,lost in the blue it meant i,wound up losing you,didn't know getting lost in the blue it meant i wound up losing you, , , ,633
633,team with spider man,wade carnes kevin garnett james,harden and nick young,team with spider man wade carnes kevin garnett james harden and nick young, , , ,634
634,thanks for helping sort,this out susi it is much,appreciated,thanks for helping sort this out susi it is much appreciated, , , ,635
635,anything bill did,is a drop in the bucket,of crap that trump spews,anything bill did is a drop in the bucket of crap that trump spews, , , ,636
636,always remember,you're someone's reason to smile,because you a joke,always remember you're someone's reason to smile because you a joke, , , ,637
637,we all going to,die but we don't know when that's,what makes it tricky,we all going to die but we don't know when that's what makes it tricky, , , ,638
638,if someone tells you,they masturbate to you what,would your response be,if someone tells you they masturbate to you what would your response be, , , ,639
639,this is the hardest,i've laughed in a long long time,please check out this thread,this is the hardest i've laughed in a long long time please check out this thread, , , ,640
640,follow everyone,who likes this if you want to,gain more followers,follow everyone who likes this if you want to gain more followers, , , ,641
641,words of wisdom from,peeve and thin elvis happy,hopefully new year,words of wisdom from peeve and thin elvis happy hopefully new year, , , ,642
642,you can choose between,stay and leave i'll be okay,w any,you can choose between stay and leave i'll be okay w any, , , ,643
643,no we didn't end,this so good but you know we,have something so good,no we didn't end this so good but you know we have something so good, , , ,644
644,still can't believe i'm,watching lebron warm up in,a laker jersey,still can't believe i'm watching lebron warm up in a laker jersey, , , ,645
645,my cat is always,by my side when i'm in bed,he's so supportive,my cat is always by my side when i'm in bed he's so supportive, , , ,646
646,donuts a friend of,mine mentioned they have a file,structure app now too,donuts a friend of mine mentioned they have a file structure app now too, , , ,647
647,next person to say,i high get tiger driver,through flaming table,next person to say i high get tiger driver through flaming table, , , ,648
648,can't believe you tagged,the president so he can,see this foolishness,can't believe you tagged the president so he can see this foolishness, , , ,649
649,so thankful for the,lovely people i have in,my life honestly,so thankful for the lovely people i have in my life honestly, , , ,650
650,the similarly,afflicted really should stick,up for each other,the similarly afflicted really should stick up for each other, , , ,651
651,only thing cooler,than believing in santa,is being santa,only thing cooler than believing in santa is being santa, , , ,652
652,classic mate maybe,retro but never goes out,of fashion for me,classic mate maybe retro but never goes out of fashion for me, , , ,653
653,their problem is they're,too kind and willing to do,anything for you,their problem is they're too kind and willing to do anything for you, , , ,654
654,holy shit looks at,the ceiling in amazement,my fanny fell off,holy shit looks at the ceiling in amazement my fanny fell off, , , ,655
655,getting the best of,both worlds got the fan on and,a heating blanket,getting the best of both worlds got the fan on and a heating blanket, , , ,656
656,i have nothing to,say on today's game other,than i miss paul cook,i have nothing to say on today's game other than i miss paul cook, , , ,657
657,i find value in,every single thing i,involve myself with,i find value in every single thing i involve myself with, , , ,658
658,never been in a,proper relationship me,i'm so over guys,never been in a proper relationship me i'm so over guys, , , ,659
659,let's play summertime,he says clarinet in hand,he butts in i die,let's play summertime he says clarinet in hand he butts in i die, , , ,660
660,happy birthday dude,may this next year provide you,with better haircuts,happy birthday dude may this next year provide you with better haircuts, , , ,661
661,if your friend doesn't,tell you when you look dumb then,are y'all really friends,if your friend doesn't tell you when you look dumb then are y'all really friends, , , ,662
662,so who's taking me,to the taylor swift show in,dallas anyone,so who's taking me to the taylor swift show in dallas anyone, , , ,663
663,hey someone tell me,if i look better with straight,or curly hair thanks,hey someone tell me if i look better with straight or curly hair thanks, , , ,664
664,you ever watch cloud,atlas and think what in the,fuck is going on,you ever watch cloud atlas and think what in the fuck is going on, , , ,665
665,aaron carpenter,is the cutest guy ever,how can you hate him,aaron carpenter is the cutest guy ever how can you hate him, , , ,666
666,everybody has,a chapter of their life that,they don't read aloud,everybody has a chapter of their life that they don't read aloud, , , ,667
667,tory waited for,me to walk into my house,a true gentleman,tory waited for me to walk into my house a true gentleman, , , ,668
668,p s i wasn't,in my feelings last night i,was just talking shit,p s i wasn't in my feelings last night i was just talking shit, , , ,669
669,not really but if,you really want to we could,figure something out,not really but if you really want to we could figure something out, , , ,670
670,missed my classes just,to sleep in at home im just,a lazy human,missed my classes just to sleep in at home im just a lazy human, , , ,671
671,being stubborn is,such an ugly flaw of mine,need to get a grip,being stubborn is such an ugly flaw of mine need to get a grip, , , ,672
672,am i the only,one excited that jersey,shore is coming back,am i the only one excited that jersey shore is coming back, , , ,673
673,crowds of joggers down,broadway past city hall on,the way to the fed,crowds of joggers down broadway past city hall on the way to the fed, , , ,674
674,been a mamas boy,y'all trifling and be putting,on for mother day,been a mamas boy y'all trifling and be putting on for mother day, , , ,675
675,things are better if,i stay so long and goodnight,so long not goodnight,things are better if i stay so long and goodnight so long not goodnight, , , ,676
676,putting yourself out,can be quite scary here's to,hoping for the best,putting yourself out can be quite scary here's to hoping for the best, , , ,677
677,someone who isn't,doing it just for the praise,and recognition,someone who isn't doing it just for the praise and recognition, , , ,678
678,okay i know i'm,late but me and laura jean,are the same person,okay i know i'm late but me and laura jean are the same person, , , ,679
679,fuck i'm so fucking,tired i hope i get sent,home early today,fuck i'm so fucking tired i hope i get sent home early today, , , ,680
680,nobody drag you,into depression better,that you by yourself,nobody drag you into depression better that you by yourself, , , ,681
681,if hitler wrote a,t v show it would be called,the amazing race,if hitler wrote a t v show it would be called the amazing race, , , ,682
682,starting to get back,to me playing better and,better by the day,starting to get back to me playing better and better by the day, , , ,683
683,once my eyebrows get,done u already know the,fleek is back on track,once my eyebrows get done u already know the fleek is back on track, , , ,684
684,selling template files,is like selling your heart don't,do that designers,selling template files is like selling your heart don't do that designers, , , ,685
685,i see emotion,cause i pay attention to,micro expressions,i see emotion cause i pay attention to micro expressions, , , ,686
686,okay not naked,but i see a lot of see,through in the future,okay not naked but i see a lot of see through in the future, , , ,687
687,they are obsessed can,you imagine having this,much penis envy,they are obsessed can you imagine having this much penis envy, , , ,688
688,i forgot i had,a thing of eggnog in the,fridge it's lit cousins,i forgot i had a thing of eggnog in the fridge it's lit cousins, , , ,689
689,you worried about,being lonely i'm worried,about going broke,you worried about being lonely i'm worried about going broke, , , ,690
690,you can give without,loving but you can never,love without giving,you can give without loving but you can never love without giving, , , ,691
691,also this isn't,for everyone but if the,shoe fits then wear it,also this isn't for everyone but if the shoe fits then wear it, , , ,692
692,he has taylor swift,in his picture he's has no,credibility,he has taylor swift in his picture he's has no credibility, , , ,693
693,dog lovers are the,white people in the world of,pet preferences,dog lovers are the white people in the world of pet preferences, , , ,694
694,i told myself that,i wouldn't be scared but i,still having nightmares,i told myself that i wouldn't be scared but i still having nightmares, , , ,695
695,i really don't think,it's healthy how much i feel,i need my earphones,i really don't think it's healthy how much i feel i need my earphones, , , ,696
696,obey your deep heart,feeling and you can find your,inner potential,obey your deep heart feeling and you can find your inner potential, , , ,697
697,you ever sleep on,your phone and wake up and feel,like you got cancer,you ever sleep on your phone and wake up and feel like you got cancer, , , ,698
698,mcinerney all,clothes should have pockets even,ideally knickers,mcinerney all clothes should have pockets even ideally knickers, , , ,699
699,seeking friends for the,last day of my ski season,aka tomorrow,seeking friends for the last day of my ski season aka tomorrow, , , ,700
700,it's so funny how,customers confuse me as,ale or vice versa,it's so funny how customers confuse me as ale or vice versa, , , ,701
701,i don't even know,how my finger got cut but,it's ugly as fuck,i don't even know how my finger got cut but it's ugly as fuck, , , ,702
702,why does everyone,either hate my sea monkeys,or want to eat them,why does everyone either hate my sea monkeys or want to eat them, , , ,703
703,it amazes me,how so many people fold,under pressure stress,it amazes me how so many people fold under pressure stress, , , ,704
704,i bear greetings as,well as a dance of friendship,on behalf of friend,i bear greetings as well as a dance of friendship on behalf of friend, , , ,705
705,all these voices in,my head get loud i wish that,i could shut them out,all these voices in my head get loud i wish that i could shut them out, , , ,706
706,my horoscope was,like libra normally so,conservative oh,my horoscope was like libra normally so conservative oh, , , ,707
707,live the dream hire,nacho doesn't get any,better than this guy,live the dream hire nacho doesn't get any better than this guy, , , ,708
708,for thanksgiving i'm,thankful for myself it's all,about self love y'all,for thanksgiving i'm thankful for myself it's all about self love y'all, , , ,709
709,all rich people are,motivational speakers,automatically,all rich people are motivational speakers automatically, , , ,710
710,having a white cat,and mostly all black clothes is,the worst thing ever,having a white cat and mostly all black clothes is the worst thing ever, , , ,711
711,flu levels rising,in florida no outbreaks,reported in schools,flu levels rising in florida no outbreaks reported in schools, , , ,712
712,these commentators,acting like we need to win,to lift the title,these commentators acting like we need to win to lift the title, , , ,713
713,i always wandered,what will happened if i stop,believe to my dreams,i always wandered what will happened if i stop believe to my dreams, , , ,714
714,hey you all answer,to this question please do you,like my profile pic,hey you all answer to this question please do you like my profile pic, , , ,715
715,lay the blanket out,grab the guitar and sing songs,till the sun goes down,lay the blanket out grab the guitar and sing songs till the sun goes down, , , ,716
716,i am just gonna,go stick my head down the bog,till sunday morning,i am just gonna go stick my head down the bog till sunday morning, , , ,717
717,nobody cares if,i'm dead or alive oh what,a wonderful life,nobody cares if i'm dead or alive oh what a wonderful life, , , ,718
718,i'm starving pissed off,and sober i'm not living,my best life right now,i'm starving pissed off and sober i'm not living my best life right now, , , ,719
719,how are you going,to live over the edge with,no edge up my guy,how are you going to live over the edge with no edge up my guy, , , ,720
720,you ever think too,loud and then someone else says,what u were thinking,you ever think too loud and then someone else says what u were thinking, , , ,721
721,greta van fleet is,so far the best concert i,have been to this year,greta van fleet is so far the best concert i have been to this year, , , ,722
722,legit worst game i've,ever seen by this team and,that's saying something,legit worst game i've ever seen by this team and that's saying something, , , ,723
723,i've always hated,mail george h w i'll,see to it pop jeb,i've always hated mail george h w i'll see to it pop jeb, , , ,724
724,ill never be where,i want to be i'll always,want more or better,ill never be where i want to be i'll always want more or better, , , ,725
725,shrinkage is a black,girls best friend when somebody,call ha bald headed,shrinkage is a black girls best friend when somebody call ha bald headed, , , ,726
726,im ready to have,a whole ass breakdown and its,not even noon yet,im ready to have a whole ass breakdown and its not even noon yet, , , ,727
727,i feel the breakdown,coming so let me just spam,about jackson's smile,i feel the breakdown coming so let me just spam about jackson's smile, , , ,728
